token	part	source	target	action	salt
064	1	0	1	enter	N/A
62414460237474	1	1	1	hint	064
62627546453838	1	1	1	hint	064
63421408847666	1	1	1	hint	064
63758212138630	1	1	2	move	064
137216484212909	1	2	2	hint	002
140112921649348	1	2	2	hint	002
136520204158016	1	2	3	move	002
270336379250530	1	3	3	hint	048
277154137262673	1	3	3	hint	048
277559945191843	1	3	3	hint	048
277806713095697	1	3	3	hint	048
277922745876159	1	3	3	hint	048
277525249483034	1	3	4	move	048
247791550580095	1	4	4	hint	073
249376441798561	1	4	4	hint	073
250939377985679	1	4	4	hint	073
252316965932137	1	4	4	hint	073
253367534850715	1	4	4	hint	073
253901624367080	1	4	4	hint	073
262165309603213	1	4	4	hint	073
271992818650545	1	4	4	hint	073
253113982671323	1	4	5	move	073
34152973521573	1	5	5	hint	060
109535642974975	1	5	6	move	060
72406392489046	1	6	6	hint	069
81881350538729	1	6	6	hint	069
81903621830254	1	6	6	hint	069
75996846005486	1	6	7	move	069
76167014014923	1	6	7	move	069
76446928229139	1	6	7	move	069
29250311216752	1	7	7	hint	090
29904962000621	1	7	7	hint	090
29955558958299	1	7	7	hint	090
30340994622142	1	7	7	hint	090
30731216836669	1	7	7	hint	090
30770821175447	1	7	7	hint	090
30286867277324	1	7	8	move	090
6678482072359	1	8	8	hint	099
7425625060309	1	8	8	hint	099
7869770718672	1	8	8	hint	099
8020535109002	1	8	8	hint	099
8136381302648	1	8	8	hint	099
8030012698937	1	8	9	move	099
110289336847392	1	9	9	hint	013
145105034233582	1	9	9	hint	013
147465783112152	1	9	9	hint	013
149497462313747	1	9	9	hint	013
149927540982675	1	9	9	hint	013
200039604814994	1	9	9	hint	013
148086545142137	1	9	10	move	013
107213178667464	1	10	10	hint	093
108909898705137	1	10	10	hint	093
138045532835332	1	10	10	hint	093
112873126312901	1	10	11	move	093
132261761187427	1	11	11	hint	033
139733827413451	1	11	12	move	033
38833696870499	1	12	12	hint	023
52735437217172	1	12	12	hint	023
48452550811506	1	12	13	move	023
11700942765002	1	13	13	hint	091
21298768906624	1	13	14	move	091
24589489494065	1	13	14	move	091
449950645205298	1	14	14	hint	092
59689908896902	1	14	14	hint	092
61304851218508	1	14	14	hint	092
59494493715131	1	14	15	move	092
14213823763139	1	15	15	hint	078
17390657805078	1	15	15	hint	078
5186021910633	1	15	15	hint	078
17727469371145	1	15	16	move	078
155334593873678	1	16	17	move	010
111661355220910	1	17	17	hint	029
2129441141048599	1	17	17	hint	029
251549824317975	1	17	17	hint	029
3717185854763695	1	17	17	hint	029
133758539622466	1	17	18	move	029
3717185854762268	1	17	18	move	029
235718735206107	1	18	18	hint	086
245164346650727	1	18	18	hint	086
216542043023011	1	18	19	move	086
246283082308474	1	19	20	move	045
237623284694455	1	20	20	hint	012
238237251828505	1	20	20	hint	012
244265129787714	1	20	20	hint	012
237752598059822	1	20	21	move	012
202700035033274	1	21	21	hint	046
202700035033277	1	21	22	move	046
2152176172776	1	22	22	hint	036
2152176172787	1	22	23	move	036
218527169874716	1	23	23	hint	071
218920106801586	1	23	23	hint	071
217710522097188	1	23	24	move	071
145920273522062	1	24	24	hint	018
146109489642854	1	24	24	hint	018
146235981349974	1	24	24	hint	018
146419000371826	1	24	24	hint	018
146472739415074	1	24	24	hint	018
146695421101260	1	24	25	move	018
212359971644502	1	25	25	hint	051
218755597151302	1	25	25	hint	051
248077393398937	1	25	25	hint	051
216551102692560	1	25	26	move	051
57258109790022	1	26	26	hint	004
58976341931186	1	26	26	hint	004
59734403758005	1	26	26	hint	004
60027786731242	1	26	26	hint	004
56444350319188	1	26	27	move	004
147473821768763	1	27	27	hint	019
147652391136642	1	27	27	hint	019
146354356040596	1	27	28	move	019
16276607446669	1	28	28	hint	035
147086758520779	1	28	29	move	035
57652065293014	1	29	29	hint	015
57920129500707	1	29	29	hint	015
58074299084163	1	29	29	hint	015
58936393336695	1	29	29	hint	015
59523382361158	1	29	29	hint	015
61314802574889	1	29	29	hint	015
60086115509306	1	29	30	move	015
231782804999116	1	30	31	move	089
208959108981304	1	31	31	hint	061
210693626905971	1	31	31	hint	061
224715483527681	1	31	31	hint	061
225758797168147	1	31	32	move	061
198610734269545	1	32	33	move	088
90805938243861	1	33	34	move	030
158217766468571	1	34	34	hint	081
155975930645834	1	34	35	move	081
250799107635628	1	35	35	hint	009
251348463037611	1	35	35	hint	009
254842517462491	1	35	35	hint	009
262342322471705	1	35	35	hint	009
251739877315743	1	35	36	move	009
92268597601854	1	36	36	hint	057
100323367752641	1	36	37	move	057
252423961532134	1	37	37	hint	042
256225590065852	1	37	37	hint	042
258311964244527	1	37	38	move	042
63948705644169	1	38	39	move	054
78824031526341	1	39	40	move	047
118173955981433	1	40	41	move	014
203739616935276	1	41	41	hint	017
209272308347783	1	41	41	hint	017
211349608158160	1	41	41	hint	017
211349608166108	1	41	41	hint	017
202552683166466	1	41	42	move	017
132132734171747	1	42	42	hint	067
133316969991232	1	42	42	hint	067
133385354248234	1	42	43	move	067
53362053949886	1	43	43	hint	087
53460227743704	1	43	43	hint	087
53613904462046	1	43	43	hint	087
53722854606794	1	43	43	hint	087
58201522408105	1	43	43	hint	087
54254940905285	1	43	0	move	087
